id;text;label
59;На Одещині не пустили процесію з тілом загиблого воїна до місцевого храму;neg
60;44-річний захисник з Одеської області Сергій Верьовка поліг у бою на фронті – фото;neg
61;Трагедія в Ізмаїлі: нетверезий водій травмував двох пішоходів – подробиці події;neg
62;На Одещині військовий побив дружину;neg
63;В Одесі компанія безплатно користувалася складами у порту;neg
64;На Одещині жінка побила малолітню дівчинку на очах у дітей;neg
65;В ліцеї міста Південне 11 дітей постраждали від розпилення сльозогінного газу;neg
66;В Одесі поранили співробітника ТЦ;neg
67;Відключення води в Одесі — адреси бюветів;neg
68;В Ізмаїлі п’яний водій збив двох пішоходів;neg
69;У центрі Одеси дерево перегородило вулицю: рух обмежено;neg
70;Сьогодні в Ізмаїлі відключать воду: причина та термін обмеження;neg
71;Суд відпустив ексзаступника директора Одеського порту;neg
72;Трамп призупинив допомогу Тайваню через угоду, що планується, з Китаєм;neg
73;У Польщі біля Любліна знайшли ймовірні уламки ракети після російської атаки;neg
74;У Чехії пенсіонерка, ставши жертвою шахраїв, сама почала обманювати знайомих;neg
75;Росія облаштувала майданчик для запуску дронів біля кордону з Україною;neg
76;Президент та уряд одностайні: допомога українцям у Польщі повинна бути поступово скасована;neg
77;Індія продовжить закуповувати російську нафту попри вимоги Трампа, - Bloomberg;neg
78;США розгорнули ракетну систему Typhon в Японії на тлі напруженості у відносинах з Китаєм (ВІДЕО);neg
79;Трамп пропонує забирати ліцензії у каналів, які його критикують;neg
80;Репресії проти уйгурів у Китаї: примусові стерилізації, тортури і пропаганда (свідчення);neg
81;США наклали вето на резолюцію ООН щодо припинення вогню в Газі;neg
82;Суд виніс вирок львівʼянину, який змусив доньку з інвалідністю вийти заміж за ухилянта;neg
83;"Житель Полтавщини ""замінував"" Офіс Президента через звільнення з роботи";neg
84;У Щирці на Львівщині водій збив пішохода, що лежав на дорозі;neg
85;У Дніпрі чиновниця міськради вкрала на завищенні цін на світло для шкіл і садочків 7,5 мільйонів;neg
86;Вогонь повністю знищив авто у Заліщицькій громаді;neg
87;"У Києві чоловік ""поховав"" матір, аби виманити 160 тисяч у співмешканки";neg
88;Блогера з Львівщини підозрюють у держзраді: поширював проросійську пропаганду з-за кордону;neg
89;У Виноградові жінка, яка насмерть збила велосипедиста, уникла в’язниці: суд дав умовний термін;neg
90;На Павлоградщині підприємство отруювало повітря — прокуратура;neg
91;На Куп’янському напрямку обстановка залишається складною, бойові дії динамічні - 10-й армійський корпус;neg
92;На Харківщині минулої доби під російськими ударами перебували сім населених пунктів, є постраждалий;neg
93;За добу росія обстріляла Харківщину КАБами і БпЛА: є постраждалий;neg
94;Окупанти обстріляли АЗС, будинок культури і фермерське господарство у Харківській області;neg
95;Російські загарбники поновили наступ на прикордонні Харківщини: в якому напрямку (мапа);neg
96;Куп’янськ зруйновано на 95%: начальник МВА розповів про ситуацію та евакуацію цивільних;neg
97;У Харкові жінку вбив її коханий ножем;neg
98;Триває ліквідація ДРГ, ситуація критична, – МВА про Куп'янськ;neg
99;Через обстріл залізниці другу добу затримуються харківські потяги;neg
100;Масові фатальні аварії в Ізмаїлі – безкарність, зумовлена діями суддів;neg
101;На Харківщині агент рф «втирався» в довіру до військових: йому загрожує довічне;neg
102;Окупанти захопили нові ділянки на Куп’янському напрямку, – DeepState;neg
103;На трасі під Чугуєвом сталася смертельна ДТП: водій вантажівки втік;neg
104;Росіяни мінують Козачу Лопань «Пелюстками», евакуація звідти вже неможлива: що відбувається в громаді;neg
105;У Харкові чоловік, який знущався зі своєї 88-річної матері – під підозрою;neg
106;У передмісті Харкова росіяни вбили людину;neg
107;Дитина як товар та імітація розстрілу: У Харкові слухають справу окупанта Шафікова за обвинуваченням у воєнних злочинах;neg
108;Трагічна втрата для Харківщини: загинув майор Іван Германовський;neg
109;Пробивають колеса та нецензурно ображають українців: Бужинська назвала курортну країну, де панують проросійські настрої і заздрять біженцям;neg
110;MELOVIN, який загримів у психіатричну клініку після служби в ДПСУ, зібрався виступити в Польщі;neg
111;"Jerry Heil різко нарвалася на хейт через необачне висловлювання: ""Закрийте рану купюрою""";neg
112;У машині зареєстрованій на виконавця D4vd знайшли тіло 15-річної дівчини;neg
113;Скандал у Франції: учасника Євробачення-2024 визнали винним у домаганнях;neg
114;Шоу Джиммі Кіммела зняли з ефіру після коментарів про вбивство Чарлі Кірка;neg
115;Kyivstar з 24 вересня знову піднімає тарифи: що чекає абонентів;neg
116;Передбачене тюремне ув'язнення: перша країна ЄС ухвалила комплексний закон, що регулює використання ШІ;neg
117;РФ використовує зброю, зроблену в нацистській Німеччині;neg
118;Новий вид шахрайства: голосові повідомлення зловмисників обманюють навіть досвідчених;neg
119;Steam перестане працювати на старих версіях Windows: названо дату;neg
120;Хакери маскують віруси під повідомлення від Meta;neg
121;Apple офіційно попередила про баги в новій операційній системі: вони впливають на батарею;neg
122;Історія Богдана Петраківського із Житомирщини: мріяв навчати дітей, але став сапером і загинув на війні;neg
123;У Бердичеві мешканці житлового будинку залишаються без води вже чотири дні;neg
124;На війні загинув мешканець Овруцької громади;neg
125;Житомирщина продовжує втрачати Героїв;neg
126;Газові служби попереджають: несправні димоходи — пряма загроза життю в опалювальний сезон;neg
127;У Житомирі дівчина втратила 6 тисяч гривень через фейкове оголошення про оренду квартири;neg
128;Бердичівляни скаржаться на постійні пробки на вулиці Чуднівській;neg
129;У Житомирі післязавтра подорожчає проїзд у громадському транспорті: чому без громадських слухань та куди підуть гроші;neg
130;Завтра на Житомирщині прощатимуться з Героєм;neg
131;18 вересня у Житомирі тимчасово призупинять водопостачання за кількома адресами;neg
132;У Бердичеві чотирьох дітей вилучили з родини через загрозливі умови проживання;neg
133;Найгірші ранкові звички, які прискорюють старіння вашої шкіри день за днем;neg
134;Невидимі вороги: 5 щоденних звичок, які шкодять здоров’ю;neg
135;Фастфуд може погіршити памʼять усього за 4 дні – дослідження;neg
136;Магнітні бурі у п'ятницю: який прогноз на 19 вересня;neg
137;"Завдали шкоди на понад три тисячі гривень: двоє прикарпатців проїхали 
вантажівками через річку Чорний Черемош.";neg
138;"Заплатила за неіснуюче авто: на Прикарпатті шахрай ""заробив"" на жінці майже 100 тисяч";neg
139;На Рожнятівщині водій «ВАЗу» збив двох пішоходів: вони у лікарні;neg
140;Підтвердили загибель бійця з Франківщини, який майже рік вважався безвісти зниклим;neg
141;Скандал у Кубку України: УАФ розслідує матч через аномальний рух коефіцієнтів;neg
142;Схилимо голови. Могутній регбіст загинув на Харківщині разом з кумом;neg
143;Конфлікт Ярмоленка та Шовковського: чи міг лідер Динамо звільнити головного тренера команди;neg
144;Гравець Київ Кепіталз отримав дискваліфікацію від Латвійської федерації хокею;neg
145;Кількох гравців французького клубу пограбували злодії;neg
146;Ворскла не зуміла пробитися до жіночої Ліги чемпіонів;neg
147;Фенербахче розізлився на Моуріньо після переходу тренера в Бенфіку;neg
148;У рейтингу ФІФА вперше із грудня 2023-го змінився лідер, Україна погіршила позицію;neg
149;Тренер Челсі обурений суддівством в програному матчі з Баварією;neg
150;"Харківський ""Металіст"" вилетів із Кубка України: деталі";neg
151;Триразову чемпіонку Австрії збила на смерть вантажівка;neg
152;"Понад 130 малих аптек закрилося в Україні через заборону маркетингових послуг — дані ""МОРІОН""";neg
153;Заборона маркетингу призвела до зворотнього ефекту: ціни на ліки зросли.;neg
154;На Кіровоградщині чоловік незаконно наловив риби на понад 300 тисяч гривень;neg
155;На війні загинув захисник з Кіровоградщини Олександр Скромний;neg
156;У Кропивницькому попрощались із військовими загиблими на війні;neg
157;Чотири громади Кіровоградщини втратили на жорстокій війні відважних захисників;neg
158;Постачання неякісного вугілля: на Кіровоградщині директора підприємства підозрюють у легалізації грошей;neg
159;На Луганщині загинув військовий з Олександрійської громади;neg
160;Понад рік вважали зниклим безвісти: на Кіровоградщині попрощалися з Олександром Кришаном;neg
161;Дні жалоби: чотири громади Кіровоградщини повідомили про загибель захисників;neg
162;У Кропивницькому біля Критого ринку сталася аварія;neg
163;Загиблого військового поховали в Приютівській громаді;neg
164;На перехресті у Кропивницькому сталася ДТП;neg
165;Кліщів із хворобою Лайма на Кіровоградщині стало майже в півтора раза більше;neg
166;"""Чорних лісорубів"" з Кіровоградщини затримали на місці скоєння злочину";neg
167;Представники омбудсмана знайшли порушення в облаштуванні Новоархангельського суду;neg
168;Вибуховою хвилею пошкоджено. вікна в лікарні на Кіровоградщині;neg
169;43-річного уродженця Львівщини підозрюють у держзраді та антиукраїнській пропаганді;neg
170;У Щирці на Львівщині водій збив пішохода, що лежав на дорозі;neg
171;Трагедія на Яворівщині: загинув водій скутера;neg
172;Почав їхати з немовлям на даху авто: у Львові судитимуть молодого батька;neg
173;Убивство Андрія Парубія: чи можуть обміняти підозрюваного;neg
174;На Львівщині чоловік застрелив сусіда з рушниці;neg
175;Львівщина попрощається з Героєм, який зник безвісти у лютому;neg
176;В селі Наварія горів будинок;neg
177;У Львові першокурсника ув’язнили на шість років за зберігання наркотиків;neg
178;У Дніпрі пішла з життя відома журналістка Ніна Нечипоренко;neg
179;У Кривому Розі небіж обікрав тітку;neg
180;Ворог здійснив масовану дронову атаку на Павлоград та обстріляв Нікопольський район з артилерії;neg
181;Син не обійме батька. На Дніпропетровщині в останню путь проведуть Валерія Кружилова;neg
182;Нічна атака на Дніпропетровщині: ворог бив по Павлограду та Нікопольщині;neg
183;Навчався у Дніпрі: у ДТП у США загинув відомий фотограф Ілля Ратман;neg
184;На Криворіжжі пожежа знищила дах будинку та майно всередині;neg
185;Навіки в строю: у Кривому Розі проведуть в останню путь полеглого захисника Олександра Герасімова;neg
186;У Дніпрі чиновниця міськради вкрала на завищенні цін на світло для шкіл і садочків 7,5 мільйонів;neg
187;Війна забирає кращих: у лікарні від поранень помер боєць з Дніпропетровської області Андрій Муковозов;neg
188;Захищаючи Україну загинув Павло Удовенко з Нікополя;neg
189;У Павлограді чоловік вдарив ножем у шию свого знайомого: слідчі завершили розслідування;neg
190;Через ворожу атаку у Павлограді поранено двох людей, — Зеленський;neg
191;Трамп вважає, що час для санкцій проти Росії ще не настав;neg
192;"Трамп ""дуже розчарований"", але хоче вірити, що російські дрони в Польщі були ""виведені з ладу""";neg
193;“Зайве і неправдиве”: у Польщі різко відреагували на слова Зеленського;neg
194;Трамп навмисно висунув Європі нереальні умови, щоб уникнути санкцій проти РФ, - WSJ;neg
195;«Головне після укладення миру на Україні - повне придушення щирих українців». Російські ЗМІ про Україну;neg
196;Не бачу кінця війні в Україні – генсек ООН;neg
197;"""Знести квартал – і все"": пропагандист Соловйов відкрито пригрозив західним політикам, які відвідують Київ.";neg
198;"""Зараз не час просити Путіна про припинення вогню"": Трамп назвав ""жорсткі заходи"", яких буде вживати проти РФ";neg
199;Трамп заявив, що зараз не час просити Путіна про припинення вогню;neg
200;Зараз не час просити Путіна про припинення вогню, - Трамп;neg
201;У Чернігові пролунав вибух на тлі повітряної тривоги;neg
202;Пожежі у різних регіонах України внаслідок обстрілу рф: куди поцілили;neg
203;Ворог просунувся біля Кіндрашівки, Степової Новосілки та Новоіванівки – Deep State;neg
204;Костянтинівка під щоденними ударами: понад 6 тисяч людей досі залишаються у місті;neg
205;На сайті Полтавської міськради переплутали вірші Шевченка з рядками Яна Таксюра;neg
206;Індія ризикує втратити $50 млрд експорту через небажання знижувати мита на американську агропродукцію;neg
207;Вбивця Кірка взяв ім'я Трампа для псевдоніма на ігровій платформі;neg
208;У Харкові біля газового балона на АЗС спалахнула автівка;neg
209;У Сумах внаслідок автопригоди травмувалися дві водійки;neg
210;Чоловік підпалив авто на Празькій у Києві заради помсти: йому загрожує до 10 років в’язниці;neg
211;Наступ на Куп'янськ очолює колишній український офіцер - BBC;neg
212;Пенсіонер, який хоче очолити відділ ДСНС на Харківщині, за рік придбав дві іномарки;neg
213;Особливості другої групи крові: ризики захворювань і поради для здоров’я;neg
214;Три напої, які призводять до плям на зубах;neg
215;Вчені назвали напій, що викликає рак грудей;neg
216;Названо звичку у житті, яка може підвищити ризик діабету;neg
217;Помилки, які знижують користь ранкової вівсянки, назвали дієтологи;neg
218;Імунітет слабшає від вживання певної їжі;neg
219;Гниють гарбузи на городі: основні причини та як боротися з проблемою;neg
220;Нове регулювання фармацевтичного ринку отримало підтримку лише двох виробників.;neg
221;Дієта не працює? Можливо це предіабет;neg
222;У заказнику в Новоукраїнському районі спиляли дуби на понад 100 тис. грн;neg
223;Еквівалент пляшки пива. Шимпанзе щоденно споживають солідну дозу алкоголю через гнилі фрукти;neg
224;У вересні неподалік від кордону України, що проходить Дунаєм, сталося одинадцять землетрусів;neg
225;Вчені NASA пояснили, чому докази існування життя на Марсі становлять загрозу для людства;neg
226;Мікропластик може сприяти розвитку хвороби Альцгеймера — дослідження;neg
227;На Фіджі зникає 79% ендемічних мурах — дослідження;neg
228;42-річному львів'янину виписали штраф за чіпляння до хлопчиків у маршрутці;neg
229;Суд виніс вирок львів’янину, який змусив доньку з інвалідністю вийти заміж за ухилянта;neg
230;У Львівському районі в озері виявили тіло чоловіка;neg
231;На кордоні з Польщею – черги з 115 авто та 17 автобусів;neg
232;Львівська політехніка фіксує відплив першокурсників за кордон;neg
233;На території Новояричівської громади виявили звалище сміття;neg
234;Заробляв на дезертирстві: у Дніпрі затримали екс-командира військової частини;neg
235;У Дніпрі ділки привласнювали нерухомість за підробленими документами;neg
236;Клієнтка втратила з кредитки 58 810 гривень, а ПриватБанк відмовляється повертати кошти - що вирішив суд;neg
237;Воєнні цілі Москви незмінні. Кремль штовхає Трампа до налагодження відносин з Росією без миру в Україні — ISW;neg
238;Кремль посилає небезпечні сигнали Україні: на Заході розкрили останні заяви Путіна і Герасимова;neg
239;"""Я розчарований"": Трамп зробив нову заяву про врегулювання війни в Україні";neg
240;Тиранія знову загрожує Європі: король Чарльз закликав підтримати Україну, Трамп відреагував;neg
241;Міністр оборони Польщі різко відповів Зеленському;neg
242;"""Не налаштований оптимістично"". Генсек ООН спрогнозував, скільки ще триватиме війна в Україні";neg
243;Трамп ухилився від питання щодо Patriot для України;neg
244;Трамп може зіштовхнути лоб до лоба ЄС і Китай через свої вимоги санкцій проти Росії — Le Monde;neg
245;Гібридна війна в Європі: Жирохов сказав, в яку країну може вторгнутися РФ;neg
246;Зеленський заявив, що під час масованого удару РФ Польща не зможе евакуювати людей;neg
247;Путін або знахабнів, або здурів, - Стармер;neg
248;Росія оскаржила в Суді ООН свою причетність до збиття рейсу MH17 у 2014 році;neg
249;Реклама тепер не тільки в телевізорі: Samsung здивував новим проєктом холодильників;neg
250;Чому iPhone може швидше розряджатися після оновлення iOS 26;neg
251;На житомирському ринку зросла вартість на соняшникову олію;neg
252;Зарості конопель та півкілограма канабісу виявили поліцейські у двох жителів Житомирської області;neg
253;Українські Карпати накрили морози: температура сягнула мінусового показника;neg
254;79 аварій скоїли неповнолітні водії від початку року на Франківщині;neg
255;На Куп’янському напрямку обстановка залишається складною, бойові дії динамічні - 10-й армійський корпус;neg
256;У низці областей оголошено повітряну тривогу через атаку шахедів;neg
257;Під час вистави акторка Івано-Франківського драмтеатру зробила зауваження глядачам: смішне відео;neg
258;Президент США не знає, чи було падіння дронів у Польщі випадковим;neg
259;Не всі придатні для використання: у Польщі перевіряють бомбосховища;neg
260;США не можуть створити нову важку балістичну ракету і можуть продовжити термін служби старої (ОНОВЛЕНО);neg
261;Клієнтка втратила з кредитки 58 810 гривень, а ПриватБанк відмовляється повертати кошти – що вирішив суд;neg
262;У харківському ліцеї пройшов мітинг-реквієм в пам’ять про загиблого бійця 5 Слобожанської бригади «Скіф» НГУ;neg
263;За витівки неповнолітнього «гонщика» з Харкова відповість його матуся;neg
264;Вчені назвали продукти, котрі викликають депресію та тривогу;neg
265;В Україні зменшилась кількість медичних сестер;neg
266;Помилки городників — які культури не варто садити поспіль;neg
267;2 гібриди томатів, які підкорили фермерів: ідеально круглі, м’ясисті, стійкі до непогоди. Насіння в дефіциті;neg
268;Конфлікт триває два роки: суд зобов'язав УПЦ МП звільнити ділянку у Приютівці;neg
269;У серпні посуха охопила понад половину Європи;neg
270;У центрі Львова виник скандал через туалети;neg
271;Водій Skoda Octavia проігнорував червоне світло у Львові;neg
272;З Дніпропетровщини у 2025 році “втекло” близько тисячі бізнесів;neg
273;Де у Дніпрі 19 вересня буде відсутнє світло: адреси;neg
274;У Дніпрі п’яний водій намагався втекти від поліції;neg
275;Індія продовжить закуповувати російську нафту попри вимоги Трампа, - Bloomberg;neg
276;Трамп заявив, що зараз не час просити Путіна про перемир’я: треба ще більше знижувати ціну на нафту;neg
277;Трамп знає, як зупинити війну в Україні — може допомогти Китай;neg
278;Китай міг би прискорити завершення війни в Україні, якби Європа діяла - Трамп;neg
279;Путін озвучив кількість російських солдат, які воюють в Україні;neg
280;Лавров заявив, що Росія готова піти на компроміси для завершення війни, але є умови;neg
281;Скільки російських військових перебувають на лінії бойового зіткнення: Путін назвав цифри;neg
282;Трамп знову заявив, що готовий піти на жорсткі заходи проти Росії, але тільки за однієї умови;neg
283;Король і Трамп за одним столом: що сказали про Україну;neu
284;Трамп у Лондоні: США та Британія заговорили про Україну;neu
285;Правоохоронці повідомили подробиці нічного обстрілу Полтавщини;neu
286;Антрополог розшифрував найзагадковіше послання майя;neu
287;Китайські науковці довели, що лід може стати невичерпним джерелом чистої енергії;neu
288;На шотландському острові знайшли забутий королівський замок;neu
289;Реклама тепер не тільки в телевізорі: Samsung здивував новим проєктом холодильників;neu
290;ШІ-моделі навчаються передбачати майбутнє: чи замінять вони експертів-аналітиків;neu
291;Топ-5 помилок при зарядці смартфона: як уникнути псування батареї;neu
292;Військові показали, як з висоти пташиного польоту виглядає Покровськ;neu
293;У Польщі знову знайшли уламки ракети;neu
294;У Польщі знайшли ймовірні уламки ракети: працює поліція;neu
295;Україна вразила понад 20 російських НПЗ — Кремль приховує масштаби втрат;neu
296;Вночі сили ППО на Дніпропетровщині збили 8 безпілотників: подробиці;neu
297;На Сумщині в полі впав ворожий безпілотник-імітатор;neu
298;Два “шахеди” було знищено в небі над Черкащиною;neu
299;У Польщі біля Любліна знайшли ймовірні уламки ракети після російської атаки;neu
300;В окупації посилено видають повістки: що відомо про незаконну мобілізацію;neu
301;Ворог атакує блокпости: поліція – про наслідки ударів по Херсонщині;neu
302;“Пора готуватися жити без води”: Маріуполь втрачає останнє джерело водопостачання;neu
303;"Росія ""чіплятиметься"" за Крим до останнього та посилює ППО більше, ніж захист власних НПЗ — ВМС ЗСУ";neu
304;Окупанти змінили порядок, за яким привласнюватимуть житло мешканців ТОТ;neu
305;Атака на залізницю: пасажирські потяги затримуються до 3 годин;neu
306;Дронові атаки з моря — як змінилася тактика росіян;neu
307;В НГУ пояснили, що робить Покровський напрямок таким важким для оборони;neu
308;Соловйов спалив «Рубикон»: як російська пропаганда розкрила секретну базу елітного підрозділу РФ;neu
309;У ВМС пояснили, чому окупанти прибрали кораблі з Чорного моря;neu
310;Командування ВДВ РФ жене операторів БПЛА за збитими дронами;neu
311;Загроза з неба: офіцер розповів, яке місто може стати ціллю FPV-дронів ворога;neu
312;Принцу Гаррі виповнилося 41 - хто привітав герцога Сассекського в соцмережах;neu
313;Ковбойський капелюх, піца та 300 шапок. Працівники Єллоустоуну показали незвичайні знахідки;neu
314;Морська видра відібрала дошки у серферів у Каліфорнії;neu
315;Найбезглуздіші помилки ШІ відзначатимуть новою премією Дарвіна: кого вже номінували 2025 року;neu
316;Спецпредставник США Келлог розповів, за що українці прозвали його Котом;neu
317;"У цій країні заборонили слова ""гамбургер"", ""караоке"" та ""морозиво"": у чому причина";neu
318;В Одесі терміново шукають донорів крові на 19 вересня;neu
319;В Одесі через ремонт спуску Блажко можуть коригувати маршрути трамваїв;neu
320;Кіберполіція Одещини застерігає громадян від інвестиційних пірамід;neu
321;Сьогодні на Одещині піротехніки проведуть підривні роботи;neu
322;Як проходить навчальний рік в Іспанії: дати навчання, канікул та вихідних у школах та вишах;neu
323;Дублінський аеропорт скасував обмеження на рідини в ручній поклажі;neu
324;Кім Чен Ин захотів розширити можливості військових дронів за допомогою ШІ;neu
325;Вертоліт, на борту якого перебував Трамп з дружиною, екстрено сів: подробиці;neu
326;Польща озвучила Мінську умови для відкриття кордону: Пекін пообіцяв поговорити з Лукашенком;neu
327;Третій світ чи new black світового бізнесу. Як і чому Індія стає новим центром світової економіки;neu
328;Де проводилися наймасштабніші військові навчання-2025;neu
329;Італійський порт заблокував в’їзд вантажівок, які могли перевозити зброю Ізраїлю;neu
330;На Буковині стався землетрус;neu
331;Поліція встановлює обставини смертельної ДТП на Кільцевій;neu
332;В Одесі судитимуть трьох чоловіків, які вимагали $20 тисяч надуманого «боргу» у місцевого;neu
333;"Хто встановив ""жучок"" у кабінеті Садового — версія СБУ";neu
334;Справа про вбивство одеського активіста Ганула: ключові етапи розслідування, – ФОТО;neu
335;В Одеській області військового покарали штрафом за замовлення наркотиків через пошту;neu
336;Генштаб повідомив актуальну ситуацію щодо штурмів навколо Купʼянська;neu
337;Діти, батьки і викладачі харківської спецшколи звернулись до Зеленського;neu
338;Стали відомі переможці кінофестивалю Svitlo;neu
339;Фанати переплутали Дженніфер Лопес з Гвен Стефані;neu
340;Марго Роббі вийшла у світ в маленькій чорній сукні;neu
341;HBO зніме продовження серіалу «Велика маленька брехня»;neu
342;На Львівщині відбудеться фестиваль лемківської пісні та кухні;neu
343;"Райан Гослінг і Флінн Грей на першому фото зі зйомок ""Зоряних війн 10""";neu
344;Адель готує першу автобиографію та розповість невідомі подробиці свого життя;neu
345;Власова вперше за довгий час виступила в Києві й зізналася, чи планує повертатися в шоубіз;neu
346;ОМКФ презентував нову статуетку Золотого Дюка;neu
347;Головні кінопрем’єри тижня;neu
348;Netflix розкрив деталі 2-го сезону One Piece: чого очікувати фанам;neu
349;З'явилися перші відеоогляди смартфонів iPhone 17 Pro та 17 Pro Max;neu
350;Релігійні чат-боти стають новими «духовними радниками»;neu
351;Українці в Кремнієвій долині об’єдналися у наукове і технологічне товариство;neu
352;Японська партія оголосила, що її лідером стане штучний інтелект;neu
353;Тарифи Vodafone чекає оновлення — що зміниться з 25 вересня;neu
354;Zoom представить фотореалістичні ШІ-аватари для відео зустрічей;neu
355;Спільнота закликала dYdX Foundation відновити міграційний міст через заблоковані токени на $25 млн;neu
356;Samsung оголосив бюджетні планшети з рекордною семирічною підтримкою: Усі деталі вкладки Galaxy A11;neu
357;OpenAI готує дитячу версію ChatGPT з батьківським контролем;neu
358;Рівень радіаційного фону по Житомиру та області;neu
359;В Коростені виявили і знешкодили вибухонебезпечні предмети часів Другої світової війни;neu
360;У Бердичеві з 20 вересня стартує набір води в систему центрального опалення;neu
361;У Житомирі відбудеться ІІІ Книжковий форум «Відсіч. Без бар’єрів – 2025»;neu
362;В Житомирі відбувся мистецький фестиваль “Зоряна Україна Олеся Бердника”. ФОТО;neu
363;У Житомирі робоча група перевірила стан ділянок безбар’єрного маршруту на вулиці Вітрука;neu
364;В Україні продають заводи з виробництва цегли потужністю 55 мільйонів штук на рік;neu
365;У Житомирі створять конкурсну комісію для формування наглядової ради Центру ПМСД;neu
366;Чому не можна розчісувати вологе волосся та що робити, якщо така необхідність виникла?;neu
367;ВЛК раз на рік: у ЗСУ пояснили, чи потрібне повторне проходження;neu
368;Магнітні бурі у п'ятницю: який прогноз на 19 вересня;neu
369;Чи можна пити зварену з вечора каву, розповіли експерти;neu
